"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",1358,"Ipsos",2015-12-19,2015-12-23,"A-",1.43e-06,1.43e-06,5.62e-09,"polls12","Trump","R",33.8,31.81303,"polls",13
"lv",1358,"Ipsos",2015-12-19,2015-12-23,"A-",1.43e-06,1.43e-06,5.62e-09,"plus12","Trump","R",33.8,31.83585,"plus",13
"lv",1358,"Ipsos",2015-12-19,2015-12-23,"A-",1.43e-06,1.43e-06,5.62e-09,"now12","Trump","R",33.8,31.48084,"now",13
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"polls13","Clinton","D",42.5,40.03675,"polls",14
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"plus13","Clinton","D",42.5,40.0361,"plus",14
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"now13","Clinton","D",42.5,40.4121,"now",14
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"polls13","Trump","R",34.2,32.23677,"polls",14
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"plus13","Trump","R",34.2,32.25966,"plus",14
"lv",1330,"Ipsos",2015-12-20,2015-12-24,"A-",1.44e-06,1.44e-06,5.79e-09,"now13","Trump","R",34.2,31.9027,"now",14
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"polls14","Clinton","D",46,45.52278,"polls",15
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"plus14","Clinton","D",46,45.45489,"plus",15
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"now14","Clinton","D",46,46.01042,"now",15
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"polls14","Trump","R",41,41.04404,"polls",15
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"plus14","Trump","R",41,41.13857,"plus",15
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",1.45e-06,1.45e-06,4.8e-09,"now14","Trump","R",41,40.83458,"now",15
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"polls15","Clinton","D",43.2,40.75293,"polls",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"plus15","Clinton","D",43.2,40.75164,"plus",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"now15","Clinton","D",43.2,41.12766,"now",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"polls15","Trump","R",32,29.98929,"polls",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"plus15","Trump","R",32,30.01204,"plus",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",1.45e-06,1.45e-06,5.59e-09,"now15","Trump","R",32,29.65899,"now",16
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"polls16","Clinton","D",42.1,39.62865,"polls",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"plus16","Clinton","D",42.1,39.62833,"plus",17
