,2368,2408,3549,4997,9164,9369,9170,9268,9291,9310,9319,9363,9372,9390,9532,10039,10424,10509,10827,11130,11157,11194,11505,11533,11885,11902,12030,12138,12434,12730,12847,12893,13535,19200,19309,31849,40009,40012,40013,40015,40022,40023,40040,40044,40070,Berlina,Caroline,Daffodil,Enigma 24,Latte,Lunch,Pat,Pday,Quake,Quickeaze,Scaley Bum,Speckles,Spike,Stacey,zoom
19200,0,0,0.025510204,0,0,0,0,0,0,0.02425876,0,0.002894356,0,0.02045728,0,0,0,0,0.006908463,0,0.037931034,0,0,0,0.003108808,0,0,0,0.008438819,0,0,0.02300885,0,,0,0,0.006465517,0,0.001083424,0,0,0.008839779,0.002421308,0,0,0,0,0,0,0,0.021828104,0,0,0.005082592,0,0,0,0,0.002699055,0
19309,0.016168149,0,0,0,0,0,0.004622496,0,0.019469027,0,0,0.001523229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004884857,0,0,0.003937008,0,0,0.001702128,0.158245949,0,,0,0,0.005714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004092769
31849,0,0,0,0.030859662,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0,0.000723589,0,0.007936508,0,0.001458789,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.002717391,0,0.00394011,0,0,0,0,0,0,0,0,0,0,0,0
40009,0,0,0.044117647,0,0,0,0,0,0,0,0,0,0,0.057638889,0,0,0,0,0,0,0,0,0,0,0.000733138,0,0,0,0,0,0,0,0,0.006465517,0,0,,0,0.025466893,0,0.00137931,0.000833333,0.005639098,0,0,0,0,0,0,0,0.011304348,0,0,0.005242464,0,0,0,0,0.00742115,0
40012,0,0,0,0,0,0,0.007600434,0,0.001445087,0,0,0,0,0.002477291,0,0,0,0,0,0,0,0,0,0,0,0.013903743,0,0,0,0,0,0,0.015625,0,0.005714286,0,0,,0,0,0,0,0,0,0,0,0.005221932,0,0,0.008027523,0,0,0,0,0,0,0,0,0,0.002006018
40013,0,0,0.007386888,0,0,0,0,0,0,0,0,0.000765111,0,0.00101626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001083424,0,0,0.025466893,0,,0,0.003325942,0,0.002116402,0,0.001101928,0,0,0,0,0,0,0,0,0.001417434,0,0,0,0,0.002858776,0
40015,0.005503145,0,0,0,0,0.005577689,0.124690339,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01518785,0,0,0,0.002822865,0,0,0.001029866,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004576659
40022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137931,0,0.003325942,0,,0,0.157158235,0,0.017647059,0,0,0,0,0,0,0,0,0,0,0,0.003144654,0,0,0
40023,0,0.206834532,0,0,0,0,0,0,0,0,0,0,0.0015625,0,0,0.000617665,0,0,0,0.002891845,0,0,0,0,0.0024888,0,0.001164822,0.000725689,0,0,0,0,0,0.008839779,0,0,0.000833333,0,0,0,0,,0,0.000532481,0,0,0,0,0,0,0,0.045586809,0,0,0.000678426,0.00087108,0.002320186,0,0.002922268,0
40040,0,0,0,0,0,0,0,0,0,0.00129199,0,0,0,0.001109262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002421308,0,0,0.005639098,0,0.002116402,0,0.157158235,0,,0,0.163007684,0,0,0,0,0.001819284,0.000708717,0,0,0,0,0,0,0,0,0
40044,0,0.009146341,0,0,0.001666667,0,0,0,0,0,0.00166113,0,0.003807711,0,0,0.005369128,0.007984032,0,0,0.013197361,0,0,0,0.014869888,0.003477397,0,0.441340782,0.004672897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000532481,0,,0,0,0,0.01427816,0,0,0,0.017970402,0.000630915,0,0.001312336,0,0,0,0,0
40070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101928,0,0.017647059,0,0.163007684,0,,0,0.002820874,0,0,0.011772853,0,0,0,0,0,0,0,0,0,0
Berlina,0,0,0,0.065045992,0.003072197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002717391,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005221932,0,0,0,0,0,0,0.002820874,0,,0,0,0.190168176,0,0,0,0,0,0,0,0,0,0
Daffodil,0,0.004448399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010817308,0,0.000984737,0,0.146424518,0,0.005268199,0,0.000577367,0,0,0.011487651,0,0,0,0,0,0,0,0,0.00394011,0,0,0,0,0,0,0,0.01427816,0,0,0,,0.00382263,0,0,0.002525253,0.005,0,0.008253968,0,0,0,0,0
Enigma24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000944287,0,0.034717495,0,0.004025765,0,0.202166065,0,0,0,0,0.000919118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382263,,0,0,0,0.127583109,0,0.006222222,0.002074689,0,0.001236094,0,0
Latte,0,0,0,0,0,0,0,0.001121076,0.006362672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081103,0,0,0,0,0,0,0,0,0,0,0,0.008027523,0,0,0,0,0.001819284,0,0.011772853,0,0.190168176,0,0,,0,0,0,0,0,0,0,0,0,0
Lunch,0,0,0.01371308,0,0,0,0,0,0,0.00317965,0,0,0,0.213718821,0,0,0,0,0.003375527,0,0.01055409,0,0,0,0.001782531,0,0,0,0,0,0.003642987,0.005319149,0,0.021828104,0,0,0.011304348,0,0,0,0,0,0.000708717,0,0,0,0,0,0,0,,0,0,0.002654867,0,0,0.003139717,0,0.002260739,0
Pat,0,0.135384615,0,0,0,0,0,0,0,0,0,0,0.001913876,0,0,0.012014787,0,0,0,0.001082251,0,0,0,0,0.005967604,0,0.007446809,0.002617801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045586809,0,0.017970402,0,0,0,0.002525253,0,0,0,,0.002710027,0.005877414,0.002463054,0,0,0,0,0
Pday,0,0.001312336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001376462,0,0.001665279,0,0.013087448,0,0,0,0,0.000714796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000630915,0,0,0,0.005,0.127583109,0,0,0.002710027,,0,0.012701101,0,0,0,0,0
Quake,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000667557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005082592,0,0,0.005242464,0,0.001417434,0,0,0,0,0,0,0,0,0,0,0,0.002654867,0.005877414,0,,0,0.001057082,0,0,0.248948107,0
Quickeaze,0,0.003703704,0,0,0,0,0,0,0,0,0,0,0.000680272,0,0,0.001644737,0,0,0,0.003055768,0,0.002201431,0,0,0,0,0.004474273,0.002012072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000678426,0,0.001312336,0,0,0,0.008253968,0.006222222,0,0,0.002463054,0.012701101,0,,0.001079914,0,0.00102459,0.002384738,0
ScaleyBum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005766063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087108,0,0,0,0,0,0,0.002074689,0,0,0,0,0.001057082,0.001079914,,0,0,0,0
Speckles,0,0.006482982,0.002487562,0,0,0,0,0,0,0,0,0,0.005476451,0,0,0,0,0,0.006122449,0,0,0,0,0,0.045592705,0,0.001540832,0.010416667,0,0,0.001862197,0,0,0,0,0,0,0,0,0,0.003144654,0.002320186,0,0,0,0,0,0,0,0,0.003139717,0,0,0,0,0,,0,0.001369863,0
Spike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001236094,0,0,0,0,0,0.00102459,0,0,,0,0
Stacey,0,0.008884501,0.002729754,0,0,0,0,0,0,0,0,0,0,0.002637131,0,0,0,0,0,0,0,0,0,0,0.000578035,0,0,0,0,0,0,0,0,0.002699055,0,0,0.00742115,0,0.002858776,0,0,0.002922268,0,0,0,0,0,0,0,0,0.002260739,0,0,0.248948107,0.002384738,0,0.001369863,0,,0
zoom,0.270149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001491424,0,0,0.003618818,0,0.004092769,0,0,0.002006018,0,0.004576659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
