"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",6.02e-06,6.02e-06,1.71e-08,"plus15","Trump","R",32,30.07271,"plus",16
"lv",1423,"Ipsos",2015-12-18,2015-12-22,"A-",6.02e-06,6.02e-06,1.71e-08,"now15","Trump","R",32,30.67821,"now",16
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"polls16","Clinton","D",42.1,37.4612,"polls",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"plus16","Clinton","D",42.1,37.44508,"plus",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"now16","Clinton","D",42.1,37.3308,"now",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"polls16","Trump","R",35.9,34.11264,"polls",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"plus16","Trump","R",35.9,34.03736,"plus",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",6.09e-06,6.09e-06,1.87e-08,"now16","Trump","R",35.9,34.6285,"now",17
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"polls17","Clinton","D",46,43.307,"polls",18
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"plus17","Clinton","D",46,43.26389,"plus",18
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"now17","Clinton","D",46,43.18125,"now",18
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"polls17","Trump","R",41,41.45975,"polls",18
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"plus17","Trump","R",41,41.58319,"plus",18
"rv",4038,"Morning Consult",2015-12-11,2015-12-15,"",6.21e-06,6.21e-06,1.49e-08,"now17","Trump","R",41,42.01339,"now",18
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"polls18","Clinton","D",43,39.85062,"polls",19
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"plus18","Clinton","D",43,39.81456,"plus",19
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"now18","Clinton","D",43,39.82065,"now",19
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"polls18","Trump","R",42,43.94515,"polls",19
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"plus18","Trump","R",42,44.08202,"plus",19
"rv",883,"Morning Consult",2016-02-15,2016-02-16,"",6.29e-06,6.29e-06,7.3e-08,"now18","Trump","R",42,44.41132,"now",19
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"polls19","Clinton","D",42.1,37.45589,"polls",20
